example_id                                                                               | status  | run_time               |
./spec/controllers/admin_controllers/stores_controller_spec.rb[1:1:7:2:1]                | failed  | 0.00724 seconds        |
./spec/controllers/admin_controllers/stores_controller_spec.rb[1:1:7:2:2]                | failed  | 0.00702 seconds        |
./spec/controllers/admin_controllers/stores_controller_spec.rb[1:1:7:3:1]                | failed  | 0.00716 seconds        |
./spec/controllers/admin_controllers/stores_controller_spec.rb[1:1:7:3:2]                | failed  | 0.00699 seconds        |
./spec/controllers/admin_controllers/stores_controller_spec.rb[1:1:7:4:1]                | failed  | 0.0074 seconds         |
./spec/controllers/admin_controllers/stores_controller_spec.rb[1:1:7:4:2]                | failed  | 0.00709 seconds        |
./spec/controllers/admin_controllers/stores_controller_spec.rb[1:1:7:5:1]                | failed  | 0.00742 seconds        |
./spec/controllers/admin_controllers/stores_controller_spec.rb[1:1:8:1]                  | failed  | 0.00729 seconds        |
./spec/controllers/admin_controllers/stores_controller_spec.rb[1:1:8:2]                  | failed  | 0.00761 seconds        |
./spec/controllers/admin_controllers/stores_controller_spec.rb[1:1:8:3]                  | failed  | 0.00793 seconds        |
./spec/controllers/admin_controllers/stores_controller_spec.rb[1:1:8:4]                  | failed  | 0.00663 seconds        |
./spec/controllers/admin_controllers/stores_controller_spec.rb[1:1:8:5]                  | failed  | 0.00699 seconds        |
./spec/controllers/admin_controllers/stores_controller_spec.rb[1:2:1:1]                  | failed  | 0.00274 seconds        |
./spec/controllers/admin_controllers/stores_controller_spec.rb[1:2:2:1:1]                | failed  | 0.00263 seconds        |
./spec/controllers/admin_controllers/stores_controller_spec.rb[1:2:2:2:1]                | failed  | 0.00265 seconds        |
./spec/controllers/admin_controllers/stores_controller_spec.rb[1:2:3:1]                  | failed  | 0.00266 seconds        |
./spec/controllers/admin_controllers/stores_controller_spec.rb[1:2:4:1]                  | failed  | 0.00252 seconds        |
./spec/controllers/admin_controllers/stores_controller_spec.rb[1:2:5:1:1]                | failed  | 0.00256 seconds        |
./spec/controllers/admin_controllers/stores_controller_spec.rb[1:2:5:2:1]                | failed  | 0.00266 seconds        |
./spec/controllers/admin_controllers/stores_controller_spec.rb[1:2:6:1:1]                | failed  | 0.00284 seconds        |
./spec/controllers/admin_controllers/stores_controller_spec.rb[1:2:6:2:1]                | failed  | 0.00273 seconds        |
./spec/controllers/admin_controllers/stores_controller_spec.rb[1:2:7:1]                  | failed  | 0.00268 seconds        |
